,,Merking,,Rétt notkun,,,Eyðufyllingar,,,Málmyndun,,Samsláttur,,,"athugasemdir, sjá vinnuskjal",
prjónunum,21,1,1,1,1,0,pryfjunum,prjónunum,1,,,,,ÞT1,,
stafs hurðar,22,1,1,1,1,1,stafs,skel,0,,,,,,,
handargagn,23,1,1,1,1,0,viðgerðar,viðgerðar,0,,,,,,,
kekkir,24,1,1,1,1,0,bakka,kekki,1,,,,,,,
vaða súðum,25,1,1,1,1,0,gefa,geiga,0,,,,,,,
leita hófanna,26,1,1,1,1,0,skófu,beittu,0,,,,,D-Opera,,
geispa golunni,27,1,1,1,1,0,stungið,tapað,0,,,,,D-Opera,,
vaða elginn,28,1,1,1,1,0,eldginnungar,eldgammal,0,,,,,D-Opera,,
einn gráan,29,1,1,1,1,0,mola,einn,1,,,,,D-Opera,,
þjófur á nóttu,30,1,1,1,1,1,þjófur,þjófur,1,,,,,D-Opera,,
,,,,,,,,,,Eftir langan vetur ákváðu hjónin loksins að bregða undir sig betri fætinum og bóka rómantíska helgarferð til Parísar til að njóta vorsins og hlaða batteríin fyrir komandi verkefni. ,"Til að fagna áfanganum ákváðu hjónin að bregða undir sig betri fætinum og bóka lúxusferð til Ítalíu, staðráðin í að njóta lífsins og gera vel við sig í tilefni dagsins. ",,,,,
,,Merking,,Rétt notkun,,,Eyðufyllingar,,,Málmyndun,,Samsláttur,,,,
Kvaðning og dæmi,,verkefni 1,,verkefni 2,,"rétt eða rangt, íslenska",verkefni 3,,"rétt eða rangt, enska",verkefni 4,,verkefni 5,,,,
Mistral,atriði ,íslenska,enska,íslenska,enska,verkefni 3,íslenska,enska,verkefni 3,íslenska,enska,íslenska ,enska,,,verkefni 3
fyrir brjóst,1,1,1,0,1,0,fram,framan,0,,,,,D-Opera,E-Chrome,
leggja upp laupa,2,1,1,0,1,0,lokaði,lokaði,0,,,,,D-Opera,E-Chrome,
lausum hala,3,1,1,0,1,0,leik,vegi,0,,,,,D-Opera,E-Chrome,
taka pokann,4,1,1,1,1,0,sínum,sínum,0,,,,,D-Opera,E-Chrome,
leggja orð í belg,5,0,1,1,1,0,orðið,mál,0,,,,,D-Opera,E-Chrome,
þruma,6,1,1,0,1,0,elding,elding,0,,,,,E-Chrome,E-Edge,
gera sér mat,7,1,1,1,1,0,gagn,framhald,0,,,,,E-Chrome,E-Edge,
horn í síðu,8,1,0,1,0,0,hald,heiðarleg,0,,,,,E-Chrome,E-Edge,
heltast úr lestinni,9,1,1,1,1,0,fór,fór,0,,,,,E-Chrome,E-Edge,
skjóta ref,10,1,1,1,1,0,á,upp,0,,,,,,E-Edge,
berjast,11,1,1,0,0,0,vinskap,vinskap,0,,,,,ÞT1,E-Firefox,
baggi,12,1,1,0,1,0,dýr,fjármagns,0,,,,,,E-Firefox,
tögl,13,0,1,1,1,0,stjórn,stjórnað,0,,,,,,E-Firefox,
skollaeyru,14,0,0,1,1,0,fylgja,fóru,0,,,,,,E-Firefox,
babb,15,1,1,1,1,0,stormur,stormur,0,,,,,,E-Firefox,
fetta fingur,16,1,1,0,1,0,stinga,stinga,0,,,,,D-Chrome,E-Firefox,D-Opera
böggum hildar,17,1,1,0,1,0,fylgni,fylgni,0,,,,,D-Chrome,E-Firefox,D-Opera
verjast frétta,18,1,1,0,1,0,ádeila,atvikna,0,,,,,D-Chrome,E-Opera,D-Opera
kippa í liðinn,19,1,1,1,1,0,leysa,leysa,0,,,,,D-Chrome,E-Opera,D-Opera
skrattinn úr sauðarleggnum,20,1,1,0,1,0,bláberjum,bláberjum,0,,,,,D-Chrome,E-Opera,D-Opera
prjónunum,21,1,1,1,0,0,hugum,hugum,0,,,,,E-Edge,E-Opera,
stafs hurðar,22,0,0,1,1,0,búnaðar,manna,0,,,,,E-Edge,,
handargagn,23,1,1,0,0,0,sýnis,sýnis,0,,,,,E-Edge,,
kastast kekki,24,1,1,0,0,0,deilur,skál,0,,,,,E-Edge,,
vaða á súðum,25,1,0,0,0,0,setja,fólk,0,,,,,E-Edge,,
leita hófanna,26,0,1,0,0,0,sóttu,hugsuð,0,,,,,ÞT1,,
geispa golunni,27,0,0,1,1,0,um,sígað,0,,,,,,,
vaða elginn,28,0,1,0,1,0,fjallað,hugsanlega,0,,,,,,,D-Firefox/E-Edge
einn gráan,29,0,0,0,1,0,hvíldar,hvíta,0,,,,,,,D-Firefox
þjófur á nóttu,30,1,1,1,1,0,varp,þjófur,1,,,,,,,D-Firefox
,,,,,,,,,,"Þegar þeir fengu að bregða undir sig betri fætinum, sýndu þau strax fram á að geta unnið betur en fyrr.","Þegar hann fékk tilboð um nýja vinnuna, ákvað hann að bregða undir sig betri fætinum og hætti gamla starfinu án þess að horfa aftur.",,,,,
