Respondent ID;Collector ID;Start Date;End Date;IP Address;Email Address;First Name;Last Name;Custom Data 1;Ég er;Ég nota;Gervigreindin sem ég nota er;;Þegar ég spyr gervigreindina að einhverju;
1,19112E+11;464548087;2026-05-03 22:41:31;2026-05-03 22:41:46;81.15.106.103;;;;;40-49 ára.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 22:14:18;2026-05-03 22:14:37;89.160.168.25;;;;;50-59 ára.;stundum gervigreind.;Gemini (Google);;nota ég ensku.;
1,19112E+11;464548087;2026-05-03 21:41:13;2026-05-03 21:41:46;81.15.99.218;;;;;19-29 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 21:30:53;2026-05-03 21:31:07;157.97.5.154;;;;;50-59 ára.;aldrei gervigreind.;;;;
1,19112E+11;464548087;2026-05-03 21:27:47;2026-05-03 21:28:20;213.220.68.204;;;;;50-59 ára.;aldrei gervigreind.;Gemini (Google);;nota ég ensku.;
1,19112E+11;464548087;2026-05-03 21:21:39;2026-05-03 21:22:35;194.105.229.154;;;;;50-59 ára.;oft gervigreind.;Annað, hvað?;Chatgpt og Claude;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 21:19:16;2026-05-03 21:19:45;85.220.18.26;;;;;40-49 ára.;aldrei gervigreind.;;;;
1,19112E+11;464548087;2026-05-03 20:53:25;2026-05-03 20:53:54;89.160.176.145;;;;;60-69 ára.;stundum gervigreind.;Annað, hvað?;Perplexity;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 20:51:32;2026-05-03 20:51:43;157.157.114.162;;;;;19-29 ára.;stundum gervigreind.;ChatGPT;;nota ég ensku.;
1,19112E+11;464548087;2026-05-03 20:18:32;2026-05-03 20:21:32;85.220.48.101;;;;;50-59 ára.;aldrei gervigreind.;Annað, hvað?;Ekkert, ef möguleiki er á. Nota Google, ef það flokkast sem gervigreind.;nota ég annað tungumál, hvaða?;Íslensku, ensku, frönsku, spænsku, dönsku ef Google flokkast sem gervigreind...
1,19112E+11;464548087;2026-05-03 20:14:57;2026-05-03 20:15:17;194.105.229.78;;;;;19-29 ára.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 19:44:12;2026-05-03 19:44:34;31.209.194.158;;;;;60-69 ára.;stundum gervigreind.;Claude (Anthropic);;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 19:38:17;2026-05-03 19:38:30;194.105.229.198;;;;;19-29 ára.;stundum gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 19:00:44;2026-05-03 19:01:02;46.182.186.29;;;;;19-29 ára.;oft gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 17:51:56;2026-05-03 17:52:21;157.157.132.31;;;;;19-29 ára.;aldrei gervigreind.;;;;
1,19112E+11;464548087;2026-05-03 17:29:58;2026-05-03 17:30:16;46.182.188.56;;;;;50-59 ára.;aldrei gervigreind.;;;;
1,19112E+11;464548087;2026-05-03 17:18:00;2026-05-03 17:18:21;37.205.36.165;;;;;50-59 ára.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 16:54:40;2026-05-03 16:55:00;153.92.158.207;;;;;50-59 ára.;stundum gervigreind.;Gemini (Google);;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 16:50:18;2026-05-03 16:52:11;157.157.113.89;;;;;60-69 ára.;stundum gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 16:47:51;2026-05-03 16:48:06;89.160.200.143;;;;;19-29 ára.;stundum gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 16:44:41;2026-05-03 16:44:57;46.182.186.194;;;;;19-29 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 16:41:06;2026-05-03 16:42:58;157.157.113.117;;;;;40-49 ára.;stundum gervigreind.;Annað, hvað?;Copilot í vinnunni - en hef líka notað chat gpt og claude,;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 16:33:53;2026-05-03 16:34:05;81.15.106.103;;;;;40-49 ára.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 16:30:19;2026-05-03 16:30:33;46.182.188.154;;;;;18 ára eða yngri.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 16:27:27;2026-05-03 16:27:44;194.144.46.24;;;;;50-59 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 16:25:23;2026-05-03 16:25:36;194.144.103.49;;;;;30-39 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 16:23:19;2026-05-03 16:23:41;46.182.188.151;;;;;50-59 ára.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 16:17:31;2026-05-03 16:18:01;104.207.29.130;;;;;50-59 ára.;stundum gervigreind.;Annað, hvað?;Perplexity;nota ég ensku.;
1,19112E+11;464548087;2026-05-03 16:17:19;2026-05-03 16:17:33;46.182.184.185;;;;;19-29 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 16:16:34;2026-05-03 16:16:56;46.182.186.173;;;;;19-29 ára.;aldrei gervigreind.;;;;
1,19112E+11;464548087;2026-05-03 16:07:03;2026-05-03 16:07:27;85.220.65.239;;;;;50-59 ára.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 15:56:27;2026-05-03 15:56:46;157.157.177.213;;;;;18 ára eða yngri.;stundum gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 15:50:44;2026-05-03 15:50:58;185.66.215.73;;;;;19-29 ára.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 15:48:37;2026-05-03 15:48:50;173.73.143.140;;;;;19-29 ára.;oft gervigreind.;ChatGPT;;nota ég ensku.;
1,19112E+11;464548087;2026-05-03 15:27:51;2026-05-03 15:28:17;90.5.64.144;;;;;50-59 ára.;stundum gervigreind.;Annað, hvað?;Copilot;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 15:24:05;2026-05-03 15:24:25;46.182.188.140;;;;;40-49 ára.;stundum gervigreind.;Gemini (Google);;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 15:19:19;2026-05-03 15:19:36;157.157.193.190;;;;;19-29 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 15:17:40;2026-05-03 15:18:05;213.167.138.208;;;;;19-29 ára.;stundum gervigreind.;Annað, hvað?;deepseek;nota ég ensku.;
1,19112E+11;464548087;2026-05-03 15:15:47;2026-05-03 15:16:12;157.157.164.238;;;;;19-29 ára.;stundum gervigreind.;Gemini (Google);;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 15:15:03;2026-05-03 15:15:27;194.105.229.67;;;;;19-29 ára.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 15:13:53;2026-05-03 15:14:08;194.105.229.203;;;;;19-29 ára.;oft gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 15:08:49;2026-05-03 15:09:07;157.157.31.51;;;;;50-59 ára.;stundum gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 15:08:35;2026-05-03 15:08:53;81.15.106.103;;;;;18 ára eða yngri.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 14:58:45;2026-05-03 14:59:02;213.220.125.54;;;;;50-59 ára.;stundum gervigreind.;Claude (Anthropic);;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 14:53:33;2026-05-03 14:53:54;31.209.159.15;;;;;50-59 ára.;oft gervigreind.;Claude (Anthropic);;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 14:28:34;2026-05-03 14:29:22;82.37.117.207;;;;;40-49 ára.;stundum gervigreind.;Annað, hvað?;Claude og ChatGPT;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 14:21:03;2026-05-03 14:21:27;145.79.198.243;;;;;30-39 ára.;aldrei gervigreind.;;;;
1,19112E+11;464548087;2026-05-03 14:11:17;2026-05-03 14:12:17;213.220.65.77;;;;;50-59 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 14:05:16;2026-05-03 14:05:29;157.157.66.155;;;;;19-29 ára.;oft gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 14:04:12;2026-05-03 14:04:28;130.208.183.89;;;;;19-29 ára.;oft gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 13:59:14;2026-05-03 14:00:32;157.157.164.73;;;;;30-39 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 13:52:05;2026-05-03 13:52:19;213.181.114.27;;;;;18 ára eða yngri.;oft gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 13:50:42;2026-05-03 13:51:06;130.208.183.68;;;;;60-69 ára.;stundum gervigreind.;ChatGPT;;nota ég annað tungumál, hvaða?;dönsku/sænsku
1,19112E+11;464548087;2026-05-03 13:46:51;2026-05-03 13:47:18;31.209.159.19;;;;;30-39 ára.;aldrei gervigreind.;Annað, hvað?;Nota ekki;;
1,19112E+11;464548087;2026-05-03 13:37:58;2026-05-03 13:38:17;46.182.188.11;;;;;40-49 ára.;stundum gervigreind.;ChatGPT;;nota ég ensku.;
1,19112E+11;464548087;2026-05-03 13:32:33;2026-05-03 13:33:56;130.208.78.115;;;;;50-59 ára.;stundum gervigreind.;Annað, hvað?;Er með áskrift að ChatGPT og get nýtt mér Gemini og Claude þar líka;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 13:32:32;2026-05-03 13:33:13;213.220.66.200;;;;;70 ára eða eldri.;aldrei gervigreind.;;;;
1,19112E+11;464548087;2026-05-03 13:29:49;2026-05-03 13:30:05;89.160.188.242;;;;;18 ára eða yngri.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 13:25:13;2026-05-03 13:25:30;85.220.44.235;;;;;18 ára eða yngri.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 13:24:33;2026-05-03 13:25:01;185.152.118.219;;;;;19-29 ára.;stundum gervigreind.;Gemini (Google);;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 13:24:30;2026-05-03 13:24:48;88.149.68.209;;;;;19-29 ára.;stundum gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 13:18:21;2026-05-03 13:18:36;46.182.184.38;;;;;19-29 ára.;stundum gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 13:02:46;2026-05-03 13:03:18;82.112.65.243;;;;;18 ára eða yngri.;stundum gervigreind.;Annað, hvað?;microsoft copilot;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 13:02:32;2026-05-03 13:02:49;153.92.143.149;;;;;18 ára eða yngri.;stundum gervigreind.;Gemini (Google);;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 12:59:34;2026-05-03 12:59:48;157.157.68.245;;;;;18 ára eða yngri.;oft gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 12:57:05;2026-05-03 12:57:44;157.157.113.243;;;;;40-49 ára.;stundum gervigreind.;Annað, hvað?;Claude, copilot og perplexity;nota ég ensku.;
1,19112E+11;464548087;2026-05-03 12:56:56;2026-05-03 12:57:11;46.182.188.223;;;;;50-59 ára.;oft gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 12:55:04;2026-05-03 12:55:48;82.112.65.240;;;;;40-49 ára.;aldrei gervigreind.;;;;
1,19112E+11;464548087;2026-05-03 12:54:54;2026-05-03 12:55:17;213.190.120.24;;;;;60-69 ára.;aldrei gervigreind.;;;;
1,19112E+11;464548087;2026-05-03 12:50:44;2026-05-03 12:51:52;85.86.243.78;;;;;50-59 ára.;aldrei gervigreind.;Annað, hvað?;Ekkert, nema þegar ég veit ekki af því að ég er að nota hana.;nota ég annað tungumál, hvaða?;Hér vantar möguleikann „Á ekki við“ en ég myndi hiklaust velja íslensku.
1,19112E+11;464548087;2026-05-03 12:47:35;2026-05-03 12:48:08;89.160.218.157;;;;;70 ára eða eldri.;stundum gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 12:44:48;2026-05-03 12:45:09;85.220.14.98;;;;;40-49 ára.;stundum gervigreind.;Claude (Anthropic);;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 12:44:09;2026-05-03 12:44:21;157.157.251.127;;;;;19-29 ára.;stundum gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 12:41:56;2026-05-03 12:42:15;130.208.136.86;;;;;19-29 ára.;oft gervigreind.;ChatGPT;;nota ég íslensku.;
1,19112E+11;464548087;2026-05-03 12:41:41;2026-05-03 12:41:58;46.182.186.186;;;;;18 ára eða yngri.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 12:40:15;2026-05-03 12:40:29;46.22.99.138;;;;;18 ára eða yngri.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 12:37:03;2026-05-03 12:37:25;85.220.64.242;;;;;19-29 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 12:36:14;2026-05-03 12:36:55;130.208.194.54;;;;;18 ára eða yngri.;oft gervigreind.;Annað, hvað?;Notebook lM, Thetawise og chatgpt;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 12:34:04;2026-05-03 12:34:20;157.157.113.65;;;;;50-59 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 12:32:41;2026-05-03 12:33:00;46.239.211.57;;;;;18 ára eða yngri.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 12:31:02;2026-05-03 12:31:37;46.182.188.47;;;;;18 ára eða yngri.;oft gervigreind.;Annað, hvað?;Bæði Claude og ChatGPT en fyrir mismunandi verkefni;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 12:30:51;2026-05-03 12:31:14;82.112.65.241;;;;;18 ára eða yngri.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 12:30:12;2026-05-03 12:30:51;157.157.113.228;;;;;50-59 ára.;stundum gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
1,19112E+11;464548087;2026-05-03 12:30:22;2026-05-03 12:30:38;46.22.99.138;;;;;18 ára eða yngri.;oft gervigreind.;ChatGPT;;nota ég ýmist íslensku eða ensku.;
